class_idx,action_name,group,correct,total,accuracy
0,drink water,Daily,5,274,0.018248
1,eat meal/snack,Daily,3,275,0.010909
2,brushing teeth,Daily,4,273,0.014652
3,brushing hair,Daily,4,273,0.014652
4,drop,Daily,2,275,0.007273
5,pickup,Daily,2,275,0.007273
6,throw,Daily,2,275,0.007273
7,sitting down,Daily,3,273,0.010989
8,standing up (from sitting),Daily,2,273,0.007326
9,clapping,Daily,6,273,0.021978
10,reading,Daily,4,273,0.014652
11,writing,Daily,3,272,0.011029
12,tear up paper,Daily,7,271,0.025830
13,wear jacket,Daily,7,275,0.025455
14,take off jacket,Daily,7,276,0.025362
15,wear a shoe,Daily,4,273,0.014652
16,take off a shoe,Daily,5,274,0.018248
17,wear on glasses,Daily,7,273,0.025641
18,take off glasses,Daily,5,274,0.018248
19,put on a hat/cap,Daily,2,272,0.007353
20,take off a hat/cap,Daily,2,273,0.007326
21,cheer up,Daily,3,274,0.010949
22,hand waving,Daily,0,274,0.000000
23,kicking something,Daily,1,276,0.003623
24,reach into pocket,Daily,2,274,0.007299
25,hopping (one foot),Daily,2,275,0.007273
26,jump up,Daily,2,276,0.007246
27,make a phone call,Health,1,275,0.003636
28,playing with phone,Health,7,275,0.025455
29,type on a keyboard,Health,6,275,0.021818
30,point to something,Health,5,276,0.018116
31,taking a selfie,Health,4,276,0.014493
32,check time (from watch),Health,3,276,0.010870
33,rub two hands together,Health,6,276,0.021739
34,nod head/bow,Health,6,276,0.021739
35,shake head,Health,5,275,0.018182
36,wipe face,Health,6,276,0.021739
37,salute,Health,6,276,0.021739
38,put the palms together,Health,6,276,0.021739
39,cross hands in front,Health,5,276,0.018116
40,sneeze/cough,Health,7,276,0.025362
41,staggering,Mutual,7,276,0.025362
42,falling down,Mutual,7,275,0.025455
43,touch head (headache),Mutual,7,276,0.025362
44,touch chest (pain),Mutual,8,276,0.028986
45,touch back (backache),Mutual,9,276,0.032609
46,touch neck (neckache),Mutual,7,276,0.025362
47,nausea/vomiting,Mutual,9,275,0.032727
48,use a fan,Mutual,6,275,0.021818
49,punching/slapping,Mutual,9,274,0.032847
50,kicking other person,Mutual,5,276,0.018116
51,pushing other person,Mutual,3,276,0.010870
52,pat on back of other,Mutual,5,276,0.018116
53,point finger at other,Mutual,2,276,0.007246
54,hugging other person,Mutual,4,274,0.014599
55,giving something,Mutual,2,276,0.007246
56,touch other's pocket,Mutual,3,275,0.010909
57,handshaking,Mutual,4,276,0.014493
58,walking towards other,Mutual,4,273,0.014652
59,walking apart from other,Mutual,2,276,0.007246
